id,card_number,card_type,monthly_payment
186,4026735869312770,visa-electron,$3024.94
187,503839097191231808,maestro,$2005.43
188,3571245699112987,jcb,$2391.42
189,374622157641571,americanexpress,$798.92
190,372301869252249,americanexpress,$2834.14
191,3561811560575339,jcb,$2783.18
192,5602225197437267090,china-unionpay,$3319.67
193,4041596187871264,visa,$2005.05
194,3564866008413649,jcb,$2015.54
195,3564749657381830,jcb,$2864.36
196,6763339335146625214,maestro,$837.49
197,490552094779764305,switch,$3957.61
198,3556665652051048,jcb,$2077.39
199,3563579159748934,jcb,$3160.47
200,3577232268455447,jcb,$977.90
201,3539927614121000,jcb,$3959.21
202,3581637787963883,jcb,$2442.73
203,6333644868241467258,switch,$3324.18
204,201847567125597,diners-club-enroute,$457.13
205,5100176576702894,mastercard,$901.38
206,5445761637026690,diners-club-us-ca,$312.19
207,3534350369026867,jcb,$3547.62
208,3540019039260295,jcb,$3337.85
209,4175004456843781,visa-electron,$3092.02
210,5602238865277328,bankcard,$3931.34
211,4903713293861082,switch,$3479.09
212,3585118013312498,jcb,$1036.14
213,4400527069844751,visa,$412.01
214,6378368551431689,instapayment,$3902.85
215,30329281852639,diners-club-carte-blanche,$3054.86
216,3534904624806669,jcb,$3742.82
217,3558929201757598,jcb,$1267.60
218,3546813678003485,jcb,$2133.59
219,3579509455298906,jcb,$3665.89
220,3571259036826829,jcb,$2643.18
221,5570932615900779,mastercard,$391.88
222,374283296992449,americanexpress,$1248.21
223,5002357385102810,mastercard,$357.30
224,341412880992461,americanexpress,$2612.13
225,3574438325657171,jcb,$2121.67
226,5602224110353429,bankcard,$3382.54
227,3530565483015371,jcb,$3703.08
228,3544299250198459,jcb,$496.36
229,3578487879871767,jcb,$2918.90
230,3552148011516088,jcb,$1327.63
231,491125856377354580,switch,$2424.00
232,5602233229480528,bankcard,$3396.09
233,3538281384495041,jcb,$1859.47
234,4041599524903733,visa,$1165.04
235,3582523594583073,jcb,$3516.56
236,4917133398765431,visa-electron,$3194.23
237,3565431451187270,jcb,$2246.43
238,5100176188903047,mastercard,$2563.96
239,5610377373458812,china-unionpay,$1870.92
240,63046624251049780,laser,$2597.25
241,5002352406522500,mastercard,$1020.19
242,3545148327764596,jcb,$1572.13
243,3555253105489700,jcb,$2072.12
244,5422219513181375,diners-club-us-ca,$2109.33
245,3531483039675095,jcb,$1318.04
246,3561689412614997,jcb,$3638.12
247,5384135174576693,mastercard,$3274.71
248,5602259618966272,china-unionpay,$1892.43
249,3534800559122041,jcb,$441.83
250,3542306396506065,jcb,$1827.37
251,4913213094752208,visa-electron,$1397.61
252,3549985777050216,jcb,$3330.53
253,3540166725271621,jcb,$3203.89
254,3561326166329379,jcb,$2107.03
255,3558170499235381,jcb,$642.61
256,5048376372673761,mastercard,$3310.19
257,5602221737456239,china-unionpay,$2388.56
258,5018331832965186060,maestro,$1511.08
259,344367021298946,americanexpress,$3012.29
260,5602225740859511,bankcard,$1697.52
261,5202271207797624,mastercard,$1289.26
262,630419503889220754,maestro,$3804.70
263,5602230695754907,bankcard,$3433.11
264,3542096524882245,jcb,$2984.05
265,349610761365580,americanexpress,$2533.36
266,5010124618381110,mastercard,$2747.81
267,67623223712208408,maestro,$1633.13
268,5413492811808624,diners-club-us-ca,$3916.83
269,3561583503168908,jcb,$2803.56
270,3574470639464929,jcb,$2900.27
271,374288677474925,americanexpress,$3314.20
272,3566085396883291,jcb,$2542.49
273,5007665921920239,mastercard,$2889.24
274,4041379158777,visa,$1557.03
275,5411616524685554,diners-club-us-ca,$367.37
276,4911356711596019030,switch,$3741.77
277,5602250737743627,bankcard,$3078.13
278,5602256131609314,bankcard,$3600.40
279,490563964430170182,switch,$1768.57
280,3570273817026013,jcb,$2752.12
281,3537843640912845,jcb,$3895.16
282,3530648640755723,jcb,$3202.95
283,3572092670736031,jcb,$746.61
284,5602241538642233,bankcard,$3268.25
285,3537478898587849,jcb,$3443.74
286,3542217283623220,jcb,$2332.72
287,376604171186799,americanexpress,$2171.69
288,5010121460744270,mastercard,$1631.03
289,3585855194487942,jcb,$981.56
290,4903666468317904865,switch,$524.81
291,633110289924850831,switch,$1282.02
292,374283903509719,americanexpress,$3281.56
293,3562466996292600,jcb,$3324.35
294,5519560756410615,diners-club-us-ca,$2436.45
295,30201176325346,diners-club-carte-blanche,$335.96
296,4175003952543127,visa-electron,$1650.79
297,3532840953095361,jcb,$1149.49
298,3544696236128502,jcb,$2339.18
299,5602232311800767,bankcard,$1118.95
300,342994063950027,americanexpress,$3803.32
301,5100175008760181,mastercard,$3757.81
302,5100175155546425,mastercard,$354.09
303,374288819295899,americanexpress,$3648.19
304,4913403134607377,visa-electron,$1718.21
305,676760680801106200,solo,$1690.27
306,3549152828414202,jcb,$3497.22
307,6378274989497468,instapayment,$3170.22
308,56022103429893181,china-unionpay,$1959.31
309,30456575902877,diners-club-carte-blanche,$2229.77
310,6333700748487071,switch,$3603.90
311,5584006623414232,diners-club-us-ca,$2309.87
312,3542354681389052,jcb,$1448.75
313,5602255441699173817,china-unionpay,$3903.41
314,3582013594443056,jcb,$2031.24
315,4175004300198366,visa-electron,$1811.73
316,3564103031470903,jcb,$2904.77
317,3541443952056531,jcb,$1184.58
318,3565829625648467,jcb,$2619.22
319,3582556055470976,jcb,$3046.46
320,3560235753115763,jcb,$2390.28
321,3580801027281362,jcb,$807.02
322,337941952502648,americanexpress,$2207.97
323,4401117767732885,visa,$607.71
324,201738538795818,diners-club-enroute,$1698.28
325,3589697172007797,jcb,$3700.30
326,5576675871547321,mastercard,$3951.25
327,3551759208310464,jcb,$303.15
328,343449157262135,americanexpress,$938.48
329,374622704052454,americanexpress,$1575.15
330,3538211566594964,jcb,$1960.08
331,4917266736143190,visa-electron,$2270.38
332,201581474204647,diners-club-enroute,$1709.31
333,3560628679780233,jcb,$3768.76
334,3581658254171024,jcb,$2677.06
335,5549049058488648,mastercard,$2896.43
336,5641826212233284,switch,$872.86
337,630477964476463547,laser,$3785.19
338,374283609920012,americanexpress,$1912.64
339,3589481611964250,jcb,$2214.69
340,4508276796924756,visa-electron,$2938.89
341,3581938868871098,jcb,$2213.82
342,5002355917919875,mastercard,$3714.10
343,30035332698109,diners-club-carte-blanche,$2228.32
344,5610192523695076,bankcard,$602.17
345,5417469793863823,mastercard,$2846.64
346,5602234904592140,china-unionpay,$999.54
347,6333854345170265,switch,$3704.96
348,3576459896940562,jcb,$3982.46
349,3577131959196346,jcb,$1254.77
350,3533443937044685,jcb,$418.80
351,3540371610170363,jcb,$590.68
352,3585848119842010,jcb,$3600.63
353,4405022859946490,visa-electron,$3063.19
354,3574532798256329,jcb,$3550.33
355,3562861704268696,jcb,$3609.96
356,5602230932754793,bankcard,$3553.19
357,3577768227823035,jcb,$1510.28
358,3567546383323954,jcb,$2142.15
359,5299907118121099,mastercard,$2448.13
360,4026745461084693,visa-electron,$1011.32
361,3579353487903864,jcb,$2470.90
362,3558727709131013,jcb,$2958.25
363,5010125635510441,mastercard,$2170.61
364,67622628648944184,maestro,$2759.65
365,560222841314901705,china-unionpay,$3386.90
366,3548671545128374,jcb,$3858.00
367,6761476190836198510,maestro,$779.06
368,374622496486233,americanexpress,$1995.72
369,3528052556709028,jcb,$3482.44
370,3540318040762822,jcb,$1010.65
371,3531621646172747,jcb,$2530.90
372,3562132560777554,jcb,$3801.87
373,3586864937990799,jcb,$2780.80
374,3532128287437354,jcb,$2154.36
375,5007668459141491,mastercard,$2385.24
376,3568731452946682,jcb,$1907.47
377,5101609505339452,mastercard,$365.96
378,4917966962841579,visa-electron,$1455.34
379,560224540306903145,china-unionpay,$1635.06
380,4936891768764280637,switch,$391.97
381,3547529935670069,jcb,$3892.74
382,5602220036121957,bankcard,$638.42
383,3572539909719212,jcb,$2979.14
384,6384228091006031,instapayment,$3371.74
385,4041595255817332,visa,$2973.02
386,201925695827266,diners-club-enroute,$1663.17
387,3567751014999129,jcb,$1027.16
388,6388814590065077,instapayment,$795.13
389,3576007229952810,jcb,$1081.92
390,5586999379580743,diners-club-us-ca,$3872.70
391,67063059467802558,laser,$607.57
392,3569198597379808,jcb,$1259.20
393,6761784413715900,maestro,$3911.34
394,5338090178514959,mastercard,$2338.37
395,5602259668461612,bankcard,$3978.15
396,3576381730845031,jcb,$3316.54
397,372301047504560,americanexpress,$2300.61
398,676184158026780503,maestro,$2628.24
399,3569803507665093,jcb,$2596.91
400,201460170339470,diners-club-enroute,$1061.53
401,3534295731541129,jcb,$465.47
402,372301846041541,americanexpress,$2304.20
403,3588193304264457,jcb,$360.10
404,4017955790187585,visa,$2016.15
405,3569023708712822,jcb,$2193.41
406,3576737957386217,jcb,$3820.70
407,3571233884925157,jcb,$3762.56
408,6763050076465095434,maestro,$2021.34
409,5106052861164468,mastercard,$460.21
410,56022136993007408,china-unionpay,$1332.62
411,374288998016603,americanexpress,$3785.20
412,3570762383314084,jcb,$2209.81
413,6331101900900781,switch,$2758.04
414,6706707993886286,laser,$640.69
415,3566673751055587,jcb,$1884.71
416,3535252212211267,jcb,$1470.37
417,3545944991912507,jcb,$600.21
418,374288712812972,americanexpress,$656.37
419,4917917796051646,visa-electron,$413.12
420,5610201582401886,bankcard,$1577.01
421,201908679107368,diners-club-enroute,$3716.79
422,337941325548393,americanexpress,$653.71
423,6386700893894051,instapayment,$1931.38
424,633395520698227459,switch,$1342.04
425,3582236110616604,jcb,$2015.67
426,5602210085484165167,china-unionpay,$1982.35
427,6771166879389255,laser,$3757.77
428,676241620038860020,maestro,$698.61
429,3539736008048145,jcb,$405.64
430,4911485089766284,switch,$3240.46
431,30317340922956,diners-club-carte-blanche,$2841.88
432,3557287500403120,jcb,$1842.27
433,4405362369457574,visa-electron,$3172.45
434,3569780440420739,jcb,$887.22
435,3530473168185140,jcb,$3861.25
436,3528268419249263,jcb,$2172.11
437,5471084039830297,mastercard,$1921.00
438,372301357120544,americanexpress,$1482.55
439,3574395689849903,jcb,$3924.64
440,4936063840861354,switch,$1833.92
441,5602249815175018894,china-unionpay,$2066.32
442,63048829244929448,laser,$784.77
443,3564127738337594,jcb,$1976.94
444,201697591196712,diners-club-enroute,$968.87
445,67090736705080546,laser,$531.80
446,67069325321219352,laser,$3701.57
447,3553047202601080,jcb,$2816.52
448,5602245816346813,bankcard,$1840.64
449,3551337376631191,jcb,$2616.11
450,6374205446912222,instapayment,$2945.18
451,30532330031283,diners-club-carte-blanche,$2267.36
452,3537340651172468,jcb,$2119.95
453,30425381448037,diners-club-carte-blanche,$1774.81
454,30549296501158,diners-club-carte-blanche,$901.95
455,5010125372270332,mastercard,$980.01
456,3548231996402917,jcb,$834.14
457,3574338677004941,jcb,$3451.96
458,3581472162650008,jcb,$2905.15
459,56022311651950641,china-unionpay,$1379.80
460,50182663067551663,maestro,$3534.27
461,4905787585545890,switch,$1846.04
462,3548710366769260,jcb,$2788.04
463,3588670933521332,jcb,$812.97
464,3532382617070100,jcb,$3923.91
465,3530788096855336,jcb,$2636.48
466,6759229845938872,maestro,$820.93
467,630420701983007534,maestro,$2898.30
468,560222767869125947,china-unionpay,$819.76
469,4936321871106336594,switch,$2042.43
470,3583434460957277,jcb,$3403.73
471,3557416660989384,jcb,$1173.28
472,3579685694917439,jcb,$1876.16
473,3571503419499187,jcb,$2183.84
474,6759233986999436409,maestro,$1814.51
475,3589584967413176,jcb,$724.72
476,5048372694825510,mastercard,$1263.27
477,3547880300576096,jcb,$2458.69
478,3546082922820934,jcb,$2732.21
479,374288160790175,americanexpress,$3478.35
480,3566593069726804,jcb,$3911.95
481,3547927549263018,jcb,$2229.11
482,30118759363595,diners-club-carte-blanche,$3098.90
483,4508528813981312,visa-electron,$753.59
484,3578250214179217,jcb,$3424.18
485,3546066556559470,jcb,$1824.41
486,6334181248108062,solo,$2552.48
487,5610387100025479,bankcard,$847.93
488,3547123741565075,jcb,$2055.82
489,3576377860050285,jcb,$456.35
490,3568945619582434,jcb,$2492.73
491,6761143871432961491,maestro,$3373.76
492,378693721920144,americanexpress,$2085.09
493,3556833936152525,jcb,$1782.60
494,3541351505586864,jcb,$2731.55
495,3545489026193061,jcb,$3788.60
496,30106010288800,diners-club-carte-blanche,$2917.08
497,3554801124021325,jcb,$1430.05
498,5007661294615688,mastercard,$2762.98
499,3564140625661802,jcb,$1810.09
500,4017951623123,visa,$3484.75
501,3551872753280477,jcb,$1543.79
502,3546835699895516,jcb,$944.90
503,3530552663223264,jcb,$1207.70
504,5100139083795991,mastercard,$2044.10
505,3531379749231643,jcb,$378.63
506,50201067939014636,maestro,$1004.86
507,3559317079493448,jcb,$2590.71
508,3545505882473964,jcb,$2279.81
509,6304561590573301232,maestro,$3627.54
510,201550719700438,diners-club-enroute,$2562.56
511,5602235819599773,china-unionpay,$2004.01
512,3550058889017972,jcb,$1127.35
513,5521942769535008,mastercard,$2318.72
514,3539840036717075,jcb,$3548.48
515,372301793930241,americanexpress,$1346.96
516,6761614767240111651,maestro,$1463.22
517,201969266235889,diners-club-enroute,$3106.69
518,3567422898898981,jcb,$3137.67
519,3576776214458096,jcb,$1646.29
520,3562091817989315,jcb,$2709.59
521,4041377218983653,visa,$634.27
522,5010120604244007,mastercard,$1600.53
523,201417359699231,diners-club-enroute,$1785.60
524,5602227114899685,bankcard,$2414.52
525,3573900941893382,jcb,$1430.97
526,3538430742289014,jcb,$3362.67
527,4492370435160696,visa,$348.91
528,3558171207764522,jcb,$1375.61
529,670990114925490501,laser,$2273.27
530,5138910429050440,mastercard,$741.86
531,30508395359231,diners-club-carte-blanche,$1486.28
532,5602247758253908,bankcard,$3562.75
533,5602248429117696,bankcard,$1699.85
534,67617272903170719,maestro,$3642.11
535,5038152627859446438,maestro,$1357.01
536,3543821870435820,jcb,$521.14
537,3534634264405221,jcb,$2704.15
538,5602238115715325,bankcard,$402.45
539,5443503201173207,diners-club-us-ca,$1779.37
540,3537772566125878,jcb,$493.70
541,5602233206470195,china-unionpay,$408.67
542,560222917544572803,china-unionpay,$2648.30
543,63040963754201035,maestro,$3353.67
544,3583363849373205,jcb,$2210.00
545,5602243573662043,bankcard,$856.54
546,4175002028503297,visa-electron,$2486.89
547,670695779978545670,laser,$1664.38
548,5602250505542078,china-unionpay,$3394.81
549,3550008083706581,jcb,$3940.37
550,3577938719842641,jcb,$400.12
551,3555716635843778,jcb,$3033.85
552,6381249352390933,instapayment,$3921.59
553,30325556562705,diners-club-carte-blanche,$3609.26
554,6380626278326409,instapayment,$2188.38
555,4903889899571658782,switch,$3601.24
556,6334609058337603,solo,$3905.83
557,3561803858151337,jcb,$964.67
558,6370028455473868,instapayment,$3753.59
559,5431364319664726,diners-club-us-ca,$1850.08
560,3531507111875023,jcb,$3205.15
561,3569207351526569,jcb,$1266.02
562,5602237454895342,bankcard,$1891.16
563,3548878866904727,jcb,$2326.38
564,3584217637440643,jcb,$3749.53
565,3588908556852109,jcb,$676.48
566,3578029589613079,jcb,$999.30
567,4917994665015770,visa-electron,$2759.00
568,201703379337740,diners-club-enroute,$2680.59
569,3549697972766583,jcb,$1491.12
570,3554173596668268,jcb,$1217.37
571,201522277675245,diners-club-enroute,$2571.74
572,4903864357803772953,switch,$2996.71
573,4017951343706,visa,$2397.95
574,5610150953932385,bankcard,$1789.11
575,3561660947844375,jcb,$3930.54
576,5100134395566453,mastercard,$2539.20
577,36976019899243,diners-club-international,$1400.16
578,5020748776141681424,maestro,$2215.51
579,3588595826325782,jcb,$1476.81
580,5602210048181818,bankcard,$2954.11
581,5100131779918888,mastercard,$3136.08
582,3550745761362399,jcb,$606.21
583,491106424533126526,switch,$2672.51
584,3553770319762897,jcb,$1645.44
585,3541304797361835,jcb,$3805.05
586,3564615135296090,jcb,$941.76
587,5587643663990072,mastercard,$2450.40
588,560222407949720850,china-unionpay,$2514.22
589,4844306434667849,visa-electron,$3388.75
590,560222326846457541,china-unionpay,$2726.46
591,3552005633853721,jcb,$1515.59
592,5551500174841297,diners-club-us-ca,$948.27
593,3587902000255895,jcb,$3970.01
594,6331100263376068,switch,$1168.25
595,3531781636472927,jcb,$3506.99
596,3552605588223828,jcb,$2818.85
597,4041595998086989,visa,$1068.53
598,3557976536986443,jcb,$3978.16
599,633452673218194236,solo,$1937.92
600,4508799784671477,visa-electron,$1704.02
601,676341080855695315,maestro,$3182.86
602,3587213209785066,jcb,$2988.95
603,5602221774420163,bankcard,$994.10
604,6771174237787074382,laser,$3244.38
605,30007801803890,diners-club-carte-blanche,$2170.18
606,3560755441763328,jcb,$2627.20
607,341294772762131,americanexpress,$1313.04
608,30351798019841,diners-club-carte-blanche,$2220.19
609,3579740117291886,jcb,$2912.09
610,4844626471780381,visa-electron,$1452.45
611,3560357082483926,jcb,$857.27
612,5602219168026760,bankcard,$3295.64
613,3547622396822426,jcb,$3574.23
614,201765692541522,diners-club-enroute,$3197.26
615,6382884200857532,instapayment,$3193.40
616,3553052104264136,jcb,$439.17
617,060429135421167090,maestro,$3957.82
618,4844842211755837,visa-electron,$1738.63
619,560225378743065957,china-unionpay,$1490.93
620,56022332006023793,china-unionpay,$3470.17
621,3569080600587397,jcb,$1560.64
622,3586985686254689,jcb,$2998.70
623,3561733005067211,jcb,$870.50
624,3580836832743545,jcb,$3976.76
625,5100173945468455,mastercard,$1995.00
626,56022471773810717,china-unionpay,$2442.66
627,3536367886451111,jcb,$1992.99
628,50186630586397551,maestro,$2778.59
629,6709763655900427913,laser,$2946.94
630,3563655888128851,jcb,$3200.23
631,372301239219175,americanexpress,$3252.12
632,3573223226627296,jcb,$3059.92
633,5100143521557252,mastercard,$1137.24
634,372301944130170,americanexpress,$3606.16
635,633411737518121023,solo,$1664.26
636,6333660944613152494,switch,$3428.16
637,3544247772424085,jcb,$3729.43
638,3588020685015168,jcb,$3663.39
639,343819067275890,americanexpress,$1255.84
640,3549146981582789,jcb,$725.79
641,676268898635732333,maestro,$3827.95
642,3558839533998663,jcb,$641.40
643,3589192464091139,jcb,$2908.60
644,3532012318674146,jcb,$2739.45
645,5248414424548711,mastercard,$3145.41
646,3585538074083375,jcb,$1398.19
647,3539696083263516,jcb,$3147.50
648,5338101923298523,mastercard,$739.27
649,6709897316345099,laser,$2777.22
650,3559574469102316,jcb,$3671.49
651,3547580019373641,jcb,$3858.80
652,4405223499695329,visa-electron,$1128.75
653,3572877593005013,jcb,$3160.92
654,5418886661186301,mastercard,$1679.31
655,5007668033930476,mastercard,$2774.18
656,201822731025346,diners-club-enroute,$408.00
657,3586875292787315,jcb,$2320.09
658,6771838838059332,laser,$3051.60
659,06044980175162617,maestro,$487.63
660,5002355137211640,mastercard,$1713.39
661,5602244694264917,bankcard,$3562.53
662,4844316495534762,visa-electron,$2827.81
663,6761389703475316676,maestro,$2832.98
664,3569989561478067,jcb,$1588.46
665,3531289904358133,jcb,$1684.31
666,3553211448999506,jcb,$589.01
667,3549140291504161,jcb,$1270.84
668,3554925560289078,jcb,$3390.50
669,3563113881182558,jcb,$1336.18
670,56022292265359256,china-unionpay,$2084.08
671,3549212457167123,jcb,$2746.27
672,337941307079821,americanexpress,$2789.18
673,3553853815859183,jcb,$1203.35
674,3581425556103539,jcb,$1775.20
675,5002359206114677,mastercard,$941.43
676,3543486867337874,jcb,$2400.33
677,3569075435376487,jcb,$886.68
678,3537732319321372,jcb,$710.00
679,676755932227561014,solo,$3750.91
680,6767688785740470763,solo,$3382.28
681,201628024335049,diners-club-enroute,$304.97
682,3564790152209878,jcb,$3095.85
683,3540867267932971,jcb,$1034.90
684,5100170600695877,mastercard,$1253.57
685,4844921535557747,visa-electron,$3174.24
686,3570472086749111,jcb,$914.95
687,3550845101054993,jcb,$447.07
688,371238070636425,americanexpress,$3695.01
689,374283871989208,americanexpress,$749.03
690,3563494488516913,jcb,$2383.96
691,3541624949303678,jcb,$3361.05
692,67592732655288992,maestro,$3474.43
693,63046709138286927,laser,$792.37
694,3582025535620873,jcb,$3816.77
695,560223193915725409,china-unionpay,$1557.87
696,5325689976177623,mastercard,$1597.51
697,201757387585856,diners-club-enroute,$2861.60
698,3573086060816774,jcb,$658.66
699,6397154273173800,instapayment,$2620.69
700,3566043909338386,jcb,$2204.18
701,5352140762559059,mastercard,$1298.36
702,491166801667521829,switch,$3816.34
703,5100141087730354,mastercard,$3338.34
704,4026986133610016,visa-electron,$3699.10
705,5100176478102532,mastercard,$1758.45
706,3580183841912146,jcb,$2849.80
707,5002357405762593,mastercard,$2510.26
708,3529025694535066,jcb,$1791.24
709,6334268254643040949,solo,$3003.80
710,67093539060537002,laser,$844.47
